StoreCode,SalesDate,PosNo,SalesNo,Jancode,ProductName,UsageCode,UsageName,UnitPrice,Quantity,LineAmount
0001,2026-05-01,2,1,4903003000019,緑茶500ml,04,飲料,140,1,140
0001,2026-05-01,2,2,4901001000031,卵10個,01,食品,250,1,250
0001,2026-05-01,1,3,4902002000018,ポテトチップス,03,菓子,130,1,130
0001,2026-05-01,1,3,4904004000027,缶チューハイ,05,酒類,190,3,570
0001,2026-05-01,1,3,4905005000035,歯ブラシ,02,日用品,280,1,280
0001,2026-05-01,2,4,4901001000024,食パン,01,食品,160,2,320
0001,2026-05-01,2,4,4902002000025,チョコレート,03,菓子,200,1,200
0001,2026-05-01,2,4,4903003000019,緑茶500ml,04,飲料,140,1,140
0001,2026-05-01,1,5,4903003000019,緑茶500ml,04,飲料,140,1,140
0001,2026-05-01,1,5,4903003000026,コーラ500ml,04,飲料,160,1,160
0001,2026-05-01,1,5,4905005000011,洗剤,02,日用品,320,1,320
0001,2026-05-01,1,5,4901001000017,牛乳1L,01,食品,230,2,460
0001,2026-05-01,2,6,4903003000026,コーラ500ml,04,飲料,160,2,320
0001,2026-05-01,2,7,4902002000025,チョコレート,03,菓子,200,1,200
0001,2026-05-01,2,7,4901001000031,卵10個,01,食品,240,3,720
0001,2026-05-01,2,7,4901001000024,食パン,01,食品,150,1,150
0001,2026-05-01,3,8,4901001000031,卵10個,01,食品,240,1,240
0001,2026-05-01,3,8,4901001000017,牛乳1L,01,食品,240,1,240
0001,2026-05-01,3,8,4905005000028,ティッシュ5箱,02,日用品,370,2,740
0001,2026-05-01,3,8,4904004000010,ビール350ml,05,酒類,240,1,240
0001,2026-05-01,2,9,4904004000010,ビール350ml,05,酒類,240,1,240
0001,2026-05-01,2,9,4903003000019,緑茶500ml,04,飲料,140,2,280
0001,2026-05-01,2,9,4905005000035,歯ブラシ,02,日用品,300,1,300
0001,2026-05-01,2,9,4902002000025,チョコレート,03,菓子,210,2,420
0001,2026-05-01,3,10,4905005000035,歯ブラシ,02,日用品,280,1,280
0001,2026-05-01,3,10,4905005000011,洗剤,02,日用品,320,1,320
0001,2026-05-01,3,10,4901001000017,牛乳1L,01,食品,220,2,440
0001,2026-05-01,1,11,4903003000019,緑茶500ml,04,飲料,160,1,160
0001,2026-05-01,1,11,4905005000028,ティッシュ5箱,02,日用品,360,1,360
0001,2026-05-01,1,11,4902002000025,チョコレート,03,菓子,200,1,200
0001,2026-05-01,3,12,4902002000018,ポテトチップス,03,菓子,140,2,280
