StoreCode,SalesDate,PosNo,SalesNo,Jancode,ProductName,UsageCode,UsageName,UnitPrice,Quantity,LineAmount
0001,2026-05-01,3,1,4902002000025,チョコレート,03,菓子,210,3,630
0001,2026-05-01,3,1,4904004000027,缶チューハイ,05,酒類,200,1,200
0001,2026-05-01,3,1,4902002000018,ポテトチップス,03,菓子,130,1,130
0001,2026-05-01,3,1,4905005000011,洗剤,02,日用品,320,1,320
0001,2026-05-01,3,2,4902002000025,チョコレート,03,菓子,200,2,400
0001,2026-05-01,2,3,4901001000031,卵10個,01,食品,240,1,240
0001,2026-05-01,2,3,4903003000019,緑茶500ml,04,飲料,150,1,150
0001,2026-05-01,2,3,4901001000024,食パン,01,食品,150,1,150
0001,2026-05-01,2,3,4901001000017,牛乳1L,01,食品,230,1,230
0001,2026-05-01,1,4,4905005000011,洗剤,02,日用品,320,1,320
0001,2026-05-01,1,4,4905005000028,ティッシュ5箱,02,日用品,380,3,1140
0001,2026-05-01,1,4,4901001000031,卵10個,01,食品,240,1,240
0001,2026-05-01,2,5,4903003000026,コーラ500ml,04,飲料,160,2,320
0001,2026-05-01,1,6,4904004000027,缶チューハイ,05,酒類,180,1,180
0001,2026-05-01,1,6,4902002000025,チョコレート,03,菓子,200,1,200
0001,2026-05-01,1,6,4905005000035,歯ブラシ,02,日用品,300,1,300
0001,2026-05-01,2,7,4903003000026,コーラ500ml,04,飲料,180,1,180
0001,2026-05-01,2,7,4905005000035,歯ブラシ,02,日用品,300,1,300
0001,2026-05-01,2,8,4903003000026,コーラ500ml,04,飲料,160,1,160
0001,2026-05-01,2,8,4902002000025,チョコレート,03,菓子,210,1,210
0001,2026-05-01,2,8,4904004000027,缶チューハイ,05,酒類,180,3,540
0001,2026-05-01,2,9,4903003000019,緑茶500ml,04,飲料,150,1,150
0001,2026-05-01,1,10,4901001000024,食パン,01,食品,150,1,150
0001,2026-05-01,1,10,4901001000017,牛乳1L,01,食品,220,1,220
0001,2026-05-01,1,10,4905005000011,洗剤,02,日用品,320,1,320
0001,2026-05-01,1,10,4901001000031,卵10個,01,食品,240,1,240
0001,2026-05-01,1,11,4903003000019,緑茶500ml,04,飲料,140,1,140
0001,2026-05-01,3,12,4905005000028,ティッシュ5箱,02,日用品,360,1,360
0001,2026-05-01,3,12,4901001000024,食パン,01,食品,170,1,170
0001,2026-05-01,3,12,4905005000011,洗剤,02,日用品,320,2,640
0001,2026-05-01,1,13,4904004000027,缶チューハイ,05,酒類,200,2,400
