StoreCode,SalesDate,PosNo,SalesNo,Jancode,ProductName,UsageCode,UsageName,UnitPrice,Quantity,LineAmount
0001,2026-05-01,1,1,4901001000024,食パン,01,食品,160,1,160
0001,2026-05-01,1,1,4904004000010,ビール350ml,05,酒類,230,1,230
0001,2026-05-01,1,2,4903003000026,コーラ500ml,04,飲料,170,1,170
0001,2026-05-01,2,3,4904004000010,ビール350ml,05,酒類,240,2,480
0001,2026-05-01,2,3,4902002000025,チョコレート,03,菓子,220,2,440
0001,2026-05-01,3,4,4904004000027,缶チューハイ,05,酒類,190,1,190
0001,2026-05-01,3,4,4905005000028,ティッシュ5箱,02,日用品,380,2,760
0001,2026-05-01,3,4,4902002000018,ポテトチップス,03,菓子,130,1,130
0001,2026-05-01,3,4,4902002000025,チョコレート,03,菓子,210,1,210
0001,2026-05-01,2,5,4904004000010,ビール350ml,05,酒類,250,1,250
0001,2026-05-01,1,6,4903003000026,コーラ500ml,04,飲料,180,1,180
0001,2026-05-01,1,6,4904004000027,缶チューハイ,05,酒類,180,1,180
0001,2026-05-01,2,7,4903003000026,コーラ500ml,04,飲料,160,1,160
0001,2026-05-01,2,7,4901001000017,牛乳1L,01,食品,220,1,220
0001,2026-05-01,2,8,4902002000018,ポテトチップス,03,菓子,150,1,150
0001,2026-05-01,2,9,4904004000010,ビール350ml,05,酒類,230,1,230
0001,2026-05-01,2,10,4905005000028,ティッシュ5箱,02,日用品,360,1,360
0001,2026-05-01,2,10,4902002000025,チョコレート,03,菓子,200,1,200
0001,2026-05-01,1,11,4905005000011,洗剤,02,日用品,320,2,640
0001,2026-05-01,1,11,4903003000026,コーラ500ml,04,飲料,170,1,170
0001,2026-05-01,2,12,4902002000018,ポテトチップス,03,菓子,130,1,130
0001,2026-05-01,2,12,4904004000027,缶チューハイ,05,酒類,190,1,190
0001,2026-05-01,2,12,4901001000017,牛乳1L,01,食品,220,1,220
0001,2026-05-01,2,12,4903003000026,コーラ500ml,04,飲料,160,1,160
0001,2026-05-01,2,13,4901001000031,卵10個,01,食品,240,2,480
0001,2026-05-01,2,13,4901001000017,牛乳1L,01,食品,220,1,220
0001,2026-05-01,2,13,4904004000027,缶チューハイ,05,酒類,200,3,600
0001,2026-05-01,3,14,4901001000024,食パン,01,食品,160,1,160
0001,2026-05-01,3,14,4902002000018,ポテトチップス,03,菓子,140,1,140
0001,2026-05-01,3,14,4905005000011,洗剤,02,日用品,330,1,330
0001,2026-05-01,2,15,4905005000011,洗剤,02,日用品,320,1,320
0001,2026-05-01,2,15,4901001000031,卵10個,01,食品,250,1,250
0001,2026-05-01,2,15,4903003000019,緑茶500ml,04,飲料,140,2,280
0001,2026-05-01,1,16,4901001000031,卵10個,01,食品,240,1,240
0001,2026-05-01,1,16,4904004000027,缶チューハイ,05,酒類,180,1,180
0001,2026-05-01,3,17,4903003000019,緑茶500ml,04,飲料,140,1,140
0001,2026-05-01,1,18,4905005000011,洗剤,02,日用品,340,1,340
0001,2026-05-01,1,19,4902002000025,チョコレート,03,菓子,200,1,200
0001,2026-05-01,1,20,4905005000028,ティッシュ5箱,02,日用品,360,1,360
0001,2026-05-01,1,20,4902002000018,ポテトチップス,03,菓子,140,1,140
0001,2026-05-01,3,21,4905005000028,ティッシュ5箱,02,日用品,360,1,360
0001,2026-05-01,3,21,4903003000019,緑茶500ml,04,飲料,140,2,280
